AssistantIntent	activate	ActivateAssistantIntent
PhotosIntent	deleteAssets	DeleteMediaAssetsIntent
PhotosIntent	duplicateAssets	DuplicateMediaAssetsIntent
PhotosIntent	openAlbum	OpenMediaAlbumIntent
PhotosIntent	openAsset	OpenMediaAssetIntent
PhotosIntent	pasteEdits	PasteMediaEditsIntent
PhotosIntent	postToSharedAlbum	PostToSharedAlbumIntent
PhotosIntent	removeAssetsFromAlbum	RemoveMediaAssetsFromAlbumIntent
PhotosIntent	search	SearchMediaIntent
PhotosIntent	setDepth	SetMediaApertureIntent
PhotosIntent	setExposure	SetMediaExposureIntent
PhotosIntent	setFilter	ApplyMediaFilterIntent
PhotosIntent	setRotation	RotateMediaIntent
PhotosIntent	setSaturation	SetMediaSaturationIntent
PhotosIntent	setWarmth	SetMediaWarmthIntent
PhotosIntent	straighten	StraightenMediaIntent
PhotosIntent	toggleDepth	SetMediaDepthIntent
PhotosIntent	toggleSuggestedEdits	EnhanceMediaIntent
PhotosIntent	updateAlbum	UpdateMediaAlbumIntent
PhotosIntent	updateAsset	UpdateMediaAssetIntent
PhotosIntent	updateRecognizedPerson	UpdateMediaPersonIntent
PresentationEntity	document	PresentationEntity
PresentationEntity	slide	PresentationSlideEntity
PresentationEntity	template	PresentationTemplateEntity
PresentationIntent	addAudioToSlide	AddAudioToPresentationSlideIntent
PresentationIntent	addCommentToSlide	AddCommentToPresentationSlideIntent
PresentationIntent	addImageToSlide	AddImageToPresentationSlideIntent
PresentationIntent	addTextBoxToSlide	AddTextBoxToPresentationSlideIntent
PresentationIntent	addVideoToSlide	AddVideoToPresentationSlideIntent
PresentationIntent	addWebVideoToSlide	AddWebVideoToPresentationSlideIntent
PresentationIntent	create	CreatePresentationIntent
PresentationIntent	createSlide	CreatePresentationSlideIntent
PresentationIntent	deleteSlide	DeletePresentationSlideIntent
PresentationIntent	open	OpenPresentationIntent
PresentationIntent	openSlide	OpenPresentationSlideIntent
PresentationIntent	setSlideTitle	UpdatePresentationSlideIntent
PresentationIntent	startPlayback	StartPlaybackPresentationIntent
PresentationIntent	stopPlayback	StopPlaybackPresentationIntent
PresentationIntent	update	UpdatePresentationIntent
ReaderEntity	document	ReaderDocumentEntity
ReaderEntity	page	ReaderPageEntity
ReaderEnum	documentKind	ReaderDocumentKind
ReaderIntent	deletePages	ReaderDeletePagesIntent
ReaderIntent	enhanceDocuments	ReaderEnhanceDocumentsIntent
ReaderIntent	insertPages	ReaderInsertPagesIntent
ReaderIntent	openDocument	ReaderOpenDocumentsIntent
ReaderIntent	openPage	ReaderOpenPageIntent
ReaderIntent	resizeDocuments	ReaderResizeDocumentsIntent
ReaderIntent	rotateDocuments	ReaderRotateDocumentsIntent
ReaderIntent	rotatePages	ReaderRotatePagesIntent
ReaderIntent	searchDocuments	SearchReaderDocumentsIntent
SpreadsheetEntity	document	SpreadsheetEntity
SpreadsheetEntity	sheet	SheetEntity
SpreadsheetEntity	template	SpreadsheetTemplateEntity
SpreadsheetIntent	addAudioToSheet	AddAudioToSheetIntent
SpreadsheetIntent	addCommentToSheet	AddCommentToSheetIntent
SpreadsheetIntent	addImageToSheet	AddImageToSheetIntent
SpreadsheetIntent	addTextBoxToSheet	AddTextboxToSheetIntent
SpreadsheetIntent	addVideoToSheet	AddVideoToSheetIntent
SpreadsheetIntent	addWebVideoToSheet	AddWebVideoToSheetIntent
SpreadsheetIntent	create	CreateSpreadsheetIntent
SpreadsheetIntent	createSheet	CreateSheetIntent
SpreadsheetIntent	delete	DeleteSpreadsheetIntent
SpreadsheetIntent	deleteSheet	DeleteSheetIntent
SpreadsheetIntent	open	OpenSpreadsheetIntent
SpreadsheetIntent	openSheet	OpenSheetIntent
SpreadsheetIntent	update	UpdateSpreadsheetIntent
SpreadsheetIntent	updateSheet	UpdateSheetIntent
SystemIntent	search	ShowInAppSearchResultsIntent
VisualIntelligenceIntent	semanticContentSearch	ShowVisualSearchResultsInAppIntent
WhiteboardEntity	board	CanvasEntity
WhiteboardEntity	item	CanvasItemEntity
WhiteboardEnum	color	CanvasColor
WhiteboardEnum	itemType	CanvasItemType
WhiteboardIntent	createBoard	CreateCanvasBoardIntent
WhiteboardIntent	createItem	CreateCanvasItemIntent
WhiteboardIntent	deleteBoard	DeleteCanvasBoardIntent
WhiteboardIntent	deleteItem	DeleteCanvasItemIntent
WhiteboardIntent	openBoard	OpenCanvasBoardIntent
WhiteboardIntent	updateBoard	UpdateCanvasBoardIntent
WhiteboardIntent	updateItem	UpdateCanvasItemIntent
WordProcessorEntity	document	WordProcessorDocumentEntity
WordProcessorEntity	page	WordProcessorPageEntity
WordProcessorEntity	template	WordProcessorDocumentTemplateEntity
WordProcessorIntent	addAudioToPage	AddAudioToWordProcessorPageIntent
WordProcessorIntent	addImageToPage	AddImageToWordProcessorPageIntent
WordProcessorIntent	addTextBoxToPage	AddTextBoxToWordProcessorPageIntent
WordProcessorIntent	addVideoToPage	AddVideoToWordProcessorPageIntent
WordProcessorIntent	addWebVideoToPage	AddWebVideoToWordProcessorPageIntent
WordProcessorIntent	create	CreateWordProcessorDocumentIntent
WordProcessorIntent	createPage	CreateWordProcessorPageIntent
WordProcessorIntent	open	OpenWordProcessorDocumentIntent
WordProcessorIntent	openPage	OpenWordProcessorPageIntent
